transaction_id,customer_id,timestamp,product_name,category,quantity,price,total_amount
TXN_10000,CUST_116,2026-06-13 16:29:14.956627,Smart Watch,Electronics,3,274.31,822.93
TXN_10001,CUST_127,2026-06-17 17:29:14.956627,Tablet,Electronics,2,479.37,958.74
TXN_10002,CUST_98,2026-07-01 10:29:14.956627,Smartphone,Electronics,1,831.44,831.44
TXN_10003,CUST_66,2026-06-12 13:29:14.956627,Smartphone,Electronics,1,802.15,802.15
TXN_10004,CUST_4,2026-06-29 03:29:14.956627,Smartphone,Electronics,3,864.03,2592.09
TXN_10005,CUST_1,2026-06-22 18:29:14.956627,Tablet,Electronics,3,430.52,1291.56
TXN_10006,CUST_15,2026-06-09 11:29:14.956627,Wireless Headphones,Accessories,2,136.75,273.5
TXN_10007,CUST_120,2026-06-12 15:29:14.956627,Wireless Headphones,Accessories,1,138.84,138.84
TXN_10008,CUST_78,2026-06-24 13:29:14.956627,Smart Watch,Electronics,2,227.86,455.72
TXN_10009,CUST_146,2026-06-25 01:29:14.956627,Smart Watch,Electronics,3,260.21,780.63
TXN_10010,CUST_50,2026-06-28 15:29:14.956627,Smart Watch,Electronics,3,235.98,707.94
TXN_10011,CUST_109,2026-06-09 05:29:14.956627,Smart Watch,Electronics,1,262.65,262.65
TXN_10012,CUST_28,2026-06-11 17:29:14.956627,Laptop,Electronics,3,1263.53,3790.59
TXN_10013,CUST_64,2026-07-02 16:29:14.956627,Laptop,Electronics,3,1191.22,3573.66
TXN_10014,CUST_8,2026-07-05 05:29:14.956627,Laptop,Electronics,1,1175.37,1175.37
TXN_10015,CUST_52,2026-07-08 12:29:14.956627,Smart Watch,Electronics,2,265.72,531.44
TXN_10016,CUST_144,2026-06-24 00:29:14.956627,Tablet,Electronics,1,458.64,458.64
TXN_10017,CUST_35,2026-06-28 19:29:14.956627,Smart Watch,Electronics,1,226.85,226.85
TXN_10018,CUST_5,2026-06-23 13:29:14.956627,Smartphone,Electronics,2,735.18,1470.36
TXN_10019,CUST_139,2026-06-23 09:29:14.956627,Wireless Headphones,Accessories,2,150.08,300.16
TXN_10020,CUST_23,2026-07-07 10:29:14.956627,Tablet,Electronics,3,492.95,1478.85
TXN_10021,CUST_27,2026-06-26 11:29:14.956627,Smart Watch,Electronics,2,267.1,534.2
TXN_10022,CUST_46,2026-07-06 16:29:14.956627,Wireless Headphones,Accessories,3,144.41,433.23
TXN_10023,CUST_109,2026-06-17 13:29:14.956627,Laptop,Electronics,3,1186.51,3559.53
TXN_10024,CUST_119,2026-06-18 12:29:14.956627,Laptop,Electronics,1,1091.4,1091.4
TXN_10025,CUST_89,2026-07-06 14:29:14.956627,Laptop,Electronics,2,1280.15,2560.3
TXN_10026,CUST_21,2026-06-13 05:29:14.956627,Laptop,Electronics,1,1310.89,1310.89
TXN_10027,CUST_123,2026-06-16 20:29:14.956627,Smart Watch,Electronics,2,268.31,536.62
TXN_10028,CUST_77,2026-07-06 21:29:14.956627,Tablet,Electronics,2,476.33,952.66
TXN_10029,CUST_50,2026-06-24 16:29:14.956627,Laptop,Electronics,2,1268.95,2537.9
TXN_10030,CUST_8,2026-06-12 18:29:14.956627,Laptop,Electronics,3,1180.6,3541.8
TXN_10031,CUST_2,2026-07-04 08:29:14.956627,Smartphone,Electronics,3,773.28,2319.84
TXN_10032,CUST_38,2026-06-30 03:29:14.956627,Wireless Headphones,Accessories,1,136.46,136.46
TXN_10033,CUST_49,2026-06-18 03:29:14.956627,Laptop,Electronics,2,1202.73,2405.46
TXN_10034,CUST_12,2026-06-26 19:29:14.956627,Tablet,Electronics,2,409.08,818.16
TXN_10035,CUST_23,2026-06-16 11:29:14.956627,Wireless Headphones,Accessories,1,163.99,163.99
TXN_10036,CUST_63,2026-07-06 20:29:14.956627,Tablet,Electronics,1,489.91,489.91
TXN_10037,CUST_78,2026-06-12 14:29:14.956627,Tablet,Electronics,1,446.47,446.47
